accession,gi,species,kingdom,phylum,class,order,family,genus
NC_020681.1,57737,Axis porcinus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis
NC_020682.1,248133,Blastocerus dichotomus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Blastocerus
NC_020684.1,9858,Capreolus capreolus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus
NC_025271.1,48560,Capreolus pygargus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus
NC_039093.1,413807,Capreolus pygargus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus
NC_007704.2,9860,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus
NC_039923.1,84700,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus
NC_013836.1,9865,Cervus elaphus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus
NC_007179.1,332176,Cervus nippon,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus
NC_013834.1,92866,Cervus nippon,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus
NC_016178.1,501781,Cervus nippon,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus
NC_018595.1,162956,Cervus nippon,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus
NC_006973.1,223998,Cervus nippon,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus
NC_006993.1,151525,Cervus nippon,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus
NC_008462.1,37550,Cervus nippon,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus
NC_020700.1,30532,Dama dama,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama
NC_008749.1,109298,Elaphodus cephalophus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphodus
NC_018358.1,43332,Elaphurus davidianus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphurus
NC_020711.1,371035,Hippocamelus antisensis,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hippocamelus
NC_011821.1,9883,Hydropotes inermis,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hydropotes
NC_018032.1,344906,Hydropotes inermis,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hydropotes
NC_020719.1,43334,Mazama americana,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama
NC_020721.1,1088028,Mazama rufina,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama
NC_004577.1,71854,Muntiacus crinifrons,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus
NC_041100.1,71855,Muntiacus feae,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus
NC_004563.1,9888,Muntiacus muntjak,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus
NC_036430.1,109294,Muntiacus putaoensis,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus
NC_004069.1,9886,Muntiacus reevesi,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus
NC_008491.1,256803,Muntiacus reevesi,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus
NC_016920.1,109296,Muntiacus vuquangensis,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus
NC_020729.1,9872,Odocoileus hemionus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus
NC_015247.1,9874,Odocoileus virginianus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus
NC_020766.1,63824,Ozotoceros bezoarticus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Ozotoceros
NC_020739.1,1088059,Pudu mephistophiles,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Pudu
NC_020740.1,163861,Pudu puda,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Pudu
NC_007703.1,9870,Rangifer tarandus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer
NC_020743.1,43328,Rucervus duvaucelii,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus
NC_039091.1,1704528,Rucervus duvaucelii,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus
NC_014701.1,1088090,Rucervus eldii,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus
NC_020744.1,1088129,Rusa alfredi,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa
NC_020745.1,1088130,Rusa timorensis,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa
NC_008414.3,399782,Rusa unicolor,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa
NC_031835.1,662561,Rusa unicolor,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa
NC_024820.1,9894,Giraffa camelopardalis,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa
NC_012100.1,439323,Giraffa giraffa,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa
NC_020730.1,86973,Okapia johnstoni,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Okapia
NC_020697.1,56798,Hexaprotodon liberiensis,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hexaprotodon
NC_000889.1,9833,Hippopotamus amphibius,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus
NC_020017.1,1267572,Moschus anhuiensis,Animalia,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus
NC_012694.1,68408,Moschus berezovskii,Animalia,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus
NC_020093.1,68412,Moschus chrysogaster,Animalia,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus
NC_042604.1,68414,Moschus leucogaster,Animalia,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus
NC_013753.1,68415,Moschus moschiferus,Animalia,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus
NC_008830.1,41426,Phacochoerus africanus,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Phacochoerus
NC_020737.1,273791,Potamochoerus porcus,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Potamochoerus
NC_026992.1,41807,Sus barbatus,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus
NC_023541.1,315377,Sus cebifrons,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus
NC_024860.1,273789,Sus celebensis,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus
NC_039090.1,309913,Sus scrofa,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus
NC_000845.1,9823,Sus scrofa,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus
NC_012095.1,9825,Sus scrofa,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus
NC_014692.1,310261,Sus scrofa,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus
NC_023536.1,159856,Sus verrucosus,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus
NC_012103.1,9829,Pecari tajacu,Animalia,Chordata,Mammalia,Artiodactyla,Tayassuidae,Pecari
NC_020714.1,666915,Hyemoschus aquaticus,Animalia,Chordata,Mammalia,Artiodactyla,Tragulidae,Hyemoschus
NC_020753.1,1088131,Tragulus kanchil,Animalia,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus
NC_035821.1,9848,Tragulus napu,Animalia,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus
NC_009691.1,424585,Ailurus fulgens,Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus
NC_011124.1,9649,Ailurus fulgens,Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus
NC_027956.1,1707807,Canis anthus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis
NC_008093.1,9614,Canis latrans,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis
NC_010340.2,246881,Canis lupus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis
NC_011218.2,554455,Canis lupus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis
NC_009686.1,443256,Canis lupus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis
NC_002008.4,9615,Canis lupus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis
NC_008092.1,9612,Canis lupus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis
NC_024172.1,68728,Chrysocyon brachyurus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Chrysocyon
NC_013445.1,68730,Cuon alpinus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon
NC_028427.1,9622,Lycaon pictus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon
NC_013700.1,34880,Nyctereutes procyonoides,Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes
NC_036369.1,9624,Otocyon megalotis,Animalia,Chordata,Mammalia,Carnivora,Canidae,Otocyon
NC_026723.1,55040,Urocyon cinereoargenteus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon
NC_023958.1,9629,Vulpes corsac,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes
NC_027935.1,561074,Vulpes ferrilata,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes
NC_026529.1,494514,Vulpes lagopus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes
NC_008434.1,9627,Vulpes vulpes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes
NC_023459.1,68732,Vulpes zerda,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes
NC_027828.1,205649,Mungotictis decemlineata,Animalia,Chordata,Mammalia,Carnivora,Eupleridae,Mungotictis
NC_005212.1,32536,Acinonyx jubatus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx
NC_028306.1,61394,Caracal caracal,Animalia,Chordata,Mammalia,Carnivora,Felidae,Caracal
NC_028300.1,61454,Catopuma badia,Animalia,Chordata,Mammalia,Carnivora,Felidae,Catopuma
NC_027115.1,61455,Catopuma temminckii,Animalia,Chordata,Mammalia,Carnivora,Felidae,Catopuma
NC_001700.1,9685,Felis catus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis
NC_028307.1,61376,Felis chaus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis
NC_028308.1,61378,Felis margarita,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis
NC_028309.1,61379,Felis nigripes,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis
NC_028310.1,9683,Felis silvestris,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis
NC_028314.1,61406,Leopardus colocolo,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus
NC_028320.1,46844,Leopardus geoffroyi,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus
NC_028321.1,61386,Leopardus guigna,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus
NC_028315.1,32538,Leopardus pardalis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus
NC_028317.1,46842,Leopardus tigrinus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus
NC_028318.1,61382,Leopardus wiedii,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus
NC_028316.1,61405,Leptailurus serval,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leptailurus
NC_028313.1,61383,Lynx canadensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx
NC_027083.1,13125,Lynx lynx,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx
NC_028319.1,191816,Lynx pardinus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx
NC_014456.1,61384,Lynx rufus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx
NC_008450.1,61452,Neofelis nebulosa,Animalia,Chordata,Mammalia,Carnivora,Felidae,Neofelis
NC_018053.1,83386,Panthera leo,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera
NC_028302.1,9689,Panthera leo,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera
NC_022842.1,9690,Panthera onca,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera
NC_010641.1,9691,Panthera pardus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera
NC_010642.1,9694,Panthera tigris,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera
NC_014770.1,253258,Panthera tigris,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera
NC_028303.1,61410,Pardofelis marmorata,Animalia,Chordata,Mammalia,Carnivora,Felidae,Pardofelis
NC_016189.1,300877,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus
NC_028301.1,37029,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus
NC_028312.1,61403,Prionailurus planiceps,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus
NC_028304.1,61387,Prionailurus rubiginosus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus
NC_028305.1,61388,Prionailurus viverrinus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus
NC_028299.1,61412,Profelis aurata,Animalia,Chordata,Mammalia,Carnivora,Felidae,Profelis
NC_016470.1,9696,Puma concolor,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma
NC_028311.1,1608482,Puma yagouaroundi,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma
NC_020670.1,9678,Crocuta crocuta,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Crocuta
NC_020669.1,95912,Hyaena hyaena,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Hyaena
NC_042596.1,30542,Conepatus chinga,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Conepatus
NC_020648.1,30548,Mephitis mephitis,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis
NC_010497.1,30552,Spilogale putorius,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale
NC_020645.1,139309,Arctonyx collaris,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Arctonyx
NC_009692.1,34882,Enhydra lutris,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra
NC_009685.1,48420,Gulo gulo,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Gulo
NC_011358.1,9657,Lutra lutra,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra
NC_035810.1,452642,Lutra sumatrana,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra
NC_035811.1,452644,Lutrogale perspicillata,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutrogale
NC_020642.1,9660,Martes americana,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes
NC_012141.1,74864,Martes flavigula,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes
NC_020643.1,9659,Martes foina,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes
NC_021749.1,29065,Martes martes,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes
NC_009678.1,36721,Martes melampus,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes
NC_011579.1,36722,Martes zibellina,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes
NC_009677.1,191034,Meles anakuma,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles
NC_039173.1,702266,Meles leucurus,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles
NC_011125.1,9662,Meles meles,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles
NC_020644.1,204267,Melogale moschata,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Melogale
NC_021751.1,92062,Mustela altaica,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
NC_025516.1,36723,Mustela erminea,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
NC_020640.1,55048,Mustela frenata,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
NC_034330.1,36238,Mustela itatsi,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
NC_023210.1,272460,Mustela kathiah,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
NC_024942.1,77151,Mustela nigripes,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
NC_020639.1,36239,Mustela nivalis,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
NC_020638.1,9668,Mustela putorius,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
NC_020637.1,36240,Mustela sibirica,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
NC_020646.1,30554,Taxidea taxus,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Taxidea
NC_024567.1,71115,Nandinia binotata,Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia
NC_004029.2,62698,Odobenus rosmarus,Animalia,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus
NC_004023.1,29084,Arctocephalus forsteri,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus
NC_008417.1,37191,Arctocephalus pusillus,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus
NC_008420.1,161921,Arctocephalus townsendi,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus
NC_008415.3,34884,Callorhinus ursinus,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Callorhinus
NC_004030.2,34886,Eumetopias jubatus,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Eumetopias
NC_008419.1,161930,Neophoca cinerea,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Neophoca
NC_008418.1,34888,Phocarctos hookeri,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Phocarctos
NC_008416.1,9704,Zalophus californianus,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Zalophus
NC_008427.1,39293,Cystophora cristata,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Cystophora
NC_008426.1,39304,Erignathus barbatus,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Erignathus
NC_001602.1,9711,Halichoerus grypus,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus
NC_008425.1,29086,Hydrurga leptonyx,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Hydrurga
NC_008424.1,9713,Leptonychotes weddellii,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Leptonychotes
NC_008423.1,101849,Lobodon carcinophaga,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon
NC_008422.1,9715,Mirounga leonina,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga
NC_008430.1,39090,Phoca largha,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca
NC_001325.1,9720,Phoca vitulina,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca
NC_008431.1,693431,Pusa caspica,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pusa
NC_008433.1,9718,Pusa hispida,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pusa
NC_008432.1,9719,Pusa sibirica,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pusa
NC_020647.1,9651,Nasua nasua,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua
NC_009126.1,9654,Procyon lotor,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon
NC_009492.1,9646,Ailuropoda melanoleuca,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda
NC_009968.1,9634,Helarctos malayanus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Helarctos
NC_009970.1,9636,Melursus ursinus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Melursus
NC_009969.1,9638,Tremarctos ornatus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Tremarctos
NC_003426.1,9643,Ursus americanus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus
NC_003427.1,9644,Ursus arctos,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus
NC_003428.1,29073,Ursus maritimus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus
NC_009971.1,9642,Ursus thibetanus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus
NC_011118.1,441215,Ursus thibetanus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus
NC_009331.1,411875,Ursus thibetanus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus
NC_011117.1,262111,Ursus thibetanus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus
NC_008753.1,262110,Ursus thibetanus,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus
NC_033378.1,94186,Civettictis civetta,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis
NC_024568.1,205596,Genetta servalina,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Genetta
NC_029403.1,9675,Paguma larvata,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paguma
NC_039591.1,71117,Paradoxurus hermaphroditus,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus
NC_024569.1,205655,Prionodon pardicolor,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Prionodon
NC_025296.1,94196,Viverricula indica,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Viverricula
NC_005268.1,27602,Balaena mysticetus,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Balaena
NC_006930.1,160595,Eubalaena australis,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Eubalaena
NC_037444.1,27606,Eubalaena glacialis,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Eubalaena
NC_006931.1,302098,Eubalaena japonica,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Eubalaena
NC_005271.1,9767,Balaenoptera acutorostrata,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera
NC_006926.1,33556,Balaenoptera bonaerensis,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera
NC_006929.1,9768,Balaenoptera borealis,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera
NC_006928.1,255365,Balaenoptera brydei,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera
NC_007938.1,9769,Balaenoptera edeni,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera
NC_001601.1,9771,Balaenoptera musculus,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera
NC_007937.1,255217,Balaenoptera omurai,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera
NC_001321.1,9770,Balaenoptera physalus,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera
NC_006927.1,9773,Megaptera novaeangliae,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Megaptera
NC_020696.1,103583,Cephalorhynchus heavisidii,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Cephalorhynchus
NC_012061.1,103584,Delphinus capensis,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus
NC_036415.1,9728,Delphinus delphis,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus
NC_019588.1,103592,Feresa attenuata,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Feresa
NC_019578.2,38241,Globicephala macrorhynchus,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Globicephala
NC_019441.1,9731,Globicephala melas,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Globicephala
NC_012062.1,83653,Grampus griseus,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Grampus
NC_037848.1,103594,Lagenodelphis hosei,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenodelphis
NC_005278.1,27610,Lagenorhynchus albirostris,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenorhynchus
NC_035426.1,90247,Lagenorhynchus obliquidens,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lagenorhynchus
NC_019590.1,48747,Orcaella brevirostris,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcaella
NC_019591.1,682059,Orcaella heinsohni,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcaella
NC_023889.1,9733,Orcinus orca,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcinus
NC_019589.1,103596,Peponocephala electra,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Peponocephala
NC_019577.1,82174,Pseudorca crassidens,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Pseudorca
NC_012057.1,103600,Sousa chinensis,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Sousa
NC_012051.1,9735,Stenella attenuata,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Stenella
NC_012053.1,9737,Stenella coeruleoalba,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Stenella
NC_032301.1,9736,Stenella longirostris,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Stenella
NC_042761.1,46167,Steno bredanensis,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Steno
NC_012058.1,79784,Tursiops aduncus,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops
NC_012059.1,9739,Tursiops truncatus,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops
NC_005270.1,9764,Eschrichtius robustus,Animalia,Chordata,Mammalia,Cetacea,Eschrichtiidae,Eschrichtius
NC_005274.1,48742,Berardius bairdii,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Berardius
NC_005273.1,48744,Hyperoodon ampullatus,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Hyperoodon
NC_034348.1,221924,Indopacetus pacificus,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Indopacetus
NC_042218.1,48745,Mesoplodon bidens,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon
NC_021974.2,48708,Mesoplodon densirostris,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon
NC_021434.2,27616,Mesoplodon europaeus,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon
NC_027593.1,272214,Mesoplodon ginkgodens,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon
NC_023830.1,74394,Mesoplodon grayi,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon
NC_042217.1,52113,Mesoplodon mirus,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon
NC_036997.1,52114,Mesoplodon stejnegeri,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon
NC_021435.1,9760,Ziphius cavirostris,Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Ziphius
NC_005276.1,9725,Inia geoffrensis,Animalia,Chordata,Mammalia,Cetacea,Iniidae,Inia
NC_007629.1,118797,Lipotes vexillifer,Animalia,Chordata,Mammalia,Cetacea,Iniidae,Lipotes
NC_005277.1,48723,Pontoporia blainvillei,Animalia,Chordata,Mammalia,Cetacea,Iniidae,Pontoporia
NC_005272.1,27615,Kogia breviceps,Animalia,Chordata,Mammalia,Cetacea,Kogiidae,Kogia
NC_041303.1,9752,Kogia sima,Animalia,Chordata,Mammalia,Cetacea,Kogiidae,Kogia
NC_034236.1,9749,Delphinapterus leucas,Animalia,Chordata,Mammalia,Cetacea,Monodontidae,Delphinapterus
NC_005279.1,40151,Monodon monoceros,Animalia,Chordata,Mammalia,Cetacea,Monodontidae,Monodon
